Metin;Durum;Alan;Konu
"Çok hafif ve ufak (ebatlarına dikkat ederek alın ki sonra ay çok küçükmüş demeyin buradaki bazı yorumlarda olduğu gibi :)) Tahmin edileceği üzere içinde 70-80 oyun filan anca var, gerisi Mario 2, Mario 3 gibi gidiyor. Kontrol tuşları pek hassas değil, oyunlarda eski atarinizin ya da gameboyunuzun performansını beklemeyin. Ekran renkleri değişik, fazla parlak gibi ve ayarı yok, durdurma opsiyonu var ama oyundan çıkar ya da aleti kapatırsanız aynı yerden devam etmek yok. Pilli değil şarjlı olması iyi. Çok basit bir alet istiyorsanız işinizi görür, sadece o kadar.";0;Teknoloji;ekran
Hayatımda gördüğüm en dandik plastik parçası. Evet içindeki oyunların hepsi ateri oynadığımız zamana götürüyor bizi fakat tuşlarıın plastiği o kadar kötü ki aterideki joystick konforu hiç yok. Süs olarak barınmaya devam edicek hayatımda...;0;Teknoloji;kalite
ekran kalitesi fotolarda gözüktüğü gibi değil gözleriniz bozulabilir. zaten 2 gün oynuyorsunuz sonra hevesiniz de kaçıyor;0;Teknoloji;ekran
bir hafta sonra şarj takılan yer elimizde kaldı şarj olmadan hiç bir işe yaramıyor ki düşmedi kırılmadı;0;Teknoloji;şarj
hiç tavsiye etmiyorum görüntü berbat batarya süresi çok kötü ve oyunun ortasında beyaz ekran çıkıyor ve ilerlemeniz kaydedilmiyor.... Aldıktan 4 gün sonra bozuldu......;0;Teknoloji;şarj
Ürünü aldım 20 gun kadar kullandık sonra bataryası şişti attım simdi buna uygun batarya bulamıyorum oyun çöp oldu.;0;Teknoloji;şarj
Çokta alınası bir ürün değil. Olmasa da olur Aslında şarj süresi uzun bütün gün takılı kalmasına rağmen dolmadı diyebilirim.;0;Teknoloji;şarj
cok gec geldi neredeyse 10 gunu buldu oyunlar hep ayni yani toplamda 400 oyun yok ses kısılabiliyor cok hafif kaliteli bisi beklenmesin;0;Teknoloji;teslimat
berbaat ya şarj yeri bozuldu gelir gelmez parçası içine düştü iade edicem çok dandik ama içindeki oyunlar süper oynamasida zevkli kolay tam çocuklara göre ama alet gerçekten kalitesiz ya da benim şansıma öyle oldu bilemiyorum;0;Teknoloji;şarj
urun de oyunlar evet guzel ama malzeme kalitesi kesinlikle 0 sansmidir bilmem tabi ama daha elimize dun ulasti bugun sarj yeri cikti bukadar kotu bi malzeme olamaz ya oglumda cok begenmisti iade etmeyi dusunuyorum kesinlikle bu para etmez;0;Teknoloji;şarj
"Çok hafif bir ürün. Pek kaliteli olduğunu söyleyemeyeceğim. Çocukların değil, yetişkinlerin kullanması gerek bence. Elimizden kayıp yere düşmesiyle ekranının çatlaması bir oldu. Ayrıca şarjının dolup dolmadığına dair bir göstergesi vs yok. Şarjı dolsun diye beklerken pili şişti. Şuan kullanılamaz durumda. 1 hafta zor kullandık.";0;Teknoloji;kalite
"Fazlasıyla küçük ve gereksiz pahalı özellikle ekranı cidden çok küçük, usb kablosu çok kısa.";0;Teknoloji;ekran
Takılıyor super mario dışında diğerleri takılıyor fiyatına göre iyi değildi iade ettim;0;Teknoloji;fiyat
Asla almayin. Cok kalitesiz ve tuslar o kadar kucuk ki oynayamiyorsunuz bu fiyati hic hak etmiyor;0;Teknoloji;kalite
Mario karakterinin rengi çok soluk ama onun dışında özlenen ateşi;0;Teknoloji;renk
surf Mario icin almistim cok fazla oynama firsatim olmadi. cok asiri kakiteli degil ama eglenceli;0;Teknoloji;kalite
"Ürün plastiği kaliteli değil,ama oyunlar güzel.. bataryası çabuk bitiyor..";2,Teknoloji;şarj
çok güzel bir ürün telefon yerine bununla oynuyorlar artık çocuklar;1;Teknoloji;şarj
içinde çok oyun var ama ekranı çok kalitesiz hemen çiziliyor;1;Teknoloji;ekran
Çok kaliteli bi ürün değil.. Ancak çocukların oyun ihtiyacını karşıladı..;1;Teknoloji;kalite
Televizyona bağlama kablosu sıkıntılı bir de aldığımda bu fiyata değildi biraz pahalıya almışım.;0;Teknoloji;fiyat
Cocuklar icin fena degil ama daha kaliteli olabilirdi ozellikle ekran kalitesi;2;Teknoloji;ekran
ilk bir hafta güzeldi ama sonrasında şarj olmadi malesef;2;Teknoloji;şarj
İçindeki oyunlar görseldeki kadar net ve renkleri canlı değil.;0;Teknoloji;kalite
"Ürün güzel, çocukluğuma döndüm :) ama ekranı hemen çizildi ve tuşları da biraz sert maalesef.";2;Teknoloji;ekran
Ürün güzel fakat ses çıkan yerinden cızırtı geliyor;2;Teknoloji;ses
Şarjı uzun süre gitmiyor ve ekrani biraz soluk görünüyor.;2;Teknoloji;şarj
içinde çok oyun var ama ekranı çok kalitesiz hemen çiziliyor;2;Teknoloji;ekran
Güzel ürün oyun çok fakat bi süre sonra göz bozar. Çok kaliteli bişey değil.;2;Teknoloji;kalite
İçindeki oyunlar görseldeki kadar net ve renkleri canlı değil.;2;Teknoloji;renk
urun ayni gorundugu gibi ekran kalitesi dusuk tabiki cok bi beklentiniz olmasin;2;Teknoloji;kalite
istediğim renk gelmedi ve her oyun güzel değil ama vakit geçirmeye yarıyor;2;Teknoloji;renk
Fena değil Marioyu özleyenler için güzel ama çok kaliteli bir şey beklemeyin plastik oyuncak gibi;2;Teknoloji;kalite
Fotograftaki gibi kaliteli degil yoksa icinde 400 oyun var yani fiyatina gore iyi yine;2;Teknoloji;kalite
Göründüğü kadar kaliteli değil şarjı çok dandik ama bu fiyatada ancak bu kadar oluyormuş diyorsunuz;0;Teknoloji;kalite
iyi güzel ama kalitesiz yere düştü ekran gitti oynayamıyoruz onum dışında güzel;2;Teknoloji;ekran
Güzel fakat boyutu ufak geldi. Ben normal tetris boyutunda beklemiştim ama onun yarısı kadar geldi.;2;Teknoloji;boyut
Mario karakterinin rengi çok soluk ama onun dışında özlenen ateşi;2;Teknoloji;renk
"Ürün plastiği kaliteli değil,ama oyunlar güzel.. bataryası çabuk bitiyor..";2;Teknoloji;şarj
surf Mario icin almistim cok fazla oynama firsatim olmadi. cok asiri kakiteli degil ama eglenceli;2;Teknoloji;kalite
Oyunlar güzel fakat cihaz çok basit çat diye kırılacak gibi tuşlar çalısıyor problemsiz geldi;2;Teknoloji;kalite
Oğlum için aldım çok çok mükemmel değil ama içindeki oyunlar eskiye götürmeye yeter.;2;Teknoloji;
"Ürün güzel, çocukluğuma döndüm :) ama ekranı hemen çizildi ve tuşları da biraz sert maalesef.";2;Teknolojikalite
"Ayni oyunlar 4-5 kez belki daha fazla yuklenmis, ekran goruntu kalitesi de kotu";0;Teknoloji;ekran
Çocuklar için güzel çok fazla oyun var ama şarjı çok çabuk bitiyor;2;Teknoloji;şarj
oyunlari guzel urun olarak da cok saglam durmuyo ama is gorur gibi;2;Teknoloji;kalite
Sadece Marino oynanabilir başka biri yapılmıyor?? çocuğa aldık ben daha çok sevdim;2;Teknoloji;
Çok sevmiştim fakat açma kapama düğmesi hemen bozuldu . Ama şarjdayken yine de çalışıyo.;2;Teknoloji;şarj
Kafa dagitmak ve nostalji icin guzel bi atari. Sadece ekran goruntusu biraz daha iyi olabilirdi.;2;Teknoloji;kalite
OYUN ÇOK VAR AMA MAKİNA DANDİK;0;Teknoloji;kalite
eski atarinin minik halı gayet güzel eğlenceli;1;Teknoloji;
Keşke şarjlı değilde pilli olsaydı.;0;Teknoloji;şarj
Severek kullanıyorum sarjı daha uzun gidebilirdi;1;Teknoloji;şarj
Çok küçük o hariç güzel oyunları var;2;Teknoloji;boyut
Ekran kalitesi daha iyi olabilirdi.;0;Teknoloji;kalite
Ekran fazla parliyor göz bozabilir çeyizlik aldım;0;Teknoloji;ekran
Kargosu hızlıydı güzel geldi eğlenceli bir oyun;1;Teknoloji;teslimat
Ürünün plastiği kalitesiz her oyun açılıyo;2;Teknoloji;kalite
ekrani biraz kalitesiz bence onun dışında iyi;2;Teknoloji;kalite
şarjı cabuk bitiyor;2;Teknoloji;şarj
Çok çabuk şarjı bitiyor ve bazı oyunlar oynanmıyor geri atıyor kullanıcıyı. Çok gereksiz asla parasını haketmiyor;0;Teknoloji;şarj
urun çok basit ses kalitesi görüntü kalitesi çok kötü oyunun sesini açtığımda sürekli cızırtı geliyor.en fazla 10 oyun oynanabilir;0;Teknoloji;ses
"Göründüğünden çok daha küçük 5 oynamadan sonra bozulan, aşırı kötü kalitesiz bir oyun. Sakın almayın, paranızı çöpe atarsınız.";0;Teknoloji;boyut
"Şarjı hemen bitiyor, Türkçe dil desteği yok, geri iade olmadığı söylendi teknik destek vereceklermiş.. teknik servisten ses seda da yok";0;Teknoloji;şarj
Bir ay sürmedi doğrudürüst oynayamadan bozuldu.düşmedi darbe almadı doğrudürüst kullanamadan yani kısaca ömrü çok kısa...;0;Teknoloji;kalite
ürünü daha önce başka bir firmadan almıştık fakat 2 günde ekranı kararmaya başladı iade ettik. Sonra burdan aldım 2 haftada bundada aynı sorun başladı üründe kronik bir problem var sanirim.;0;Teknoloji;ekran
Çok çabuk şarjı bitiyor ve bazı oyunlar oynanmıyor geri atıyor kullanıcıyı. Çok gereksiz asla parasını haketmiyor;0;Teknoloji;şarj
"kötü yorumlara rağmen şans vermek istedim ancak oyun oynarken aniden ekran kararıyor ve ekranın yanında ufak delikten ışık sızıntısı var, iade göndereceğim.";0;Teknoloji;ekran
"Ekran görüntüsü fotoğraftaki gibi değil siyah beyaz ve dil seçeneği Türkçe değil, açıkçası beklentimi karşılamadı";0;Teknoloji;ekran
Ürün korumasız ve ekranında çizikler olarak geldi. Pili taktığımızda oyun seçemedik. Hiçbir oyun oynanmadı. Kalite olarak zaten pek bir şey beklemiyorduk. Mecburen iade etmek zorunda kaldık.;0;Teknoloji;kalite
"Gelen Ürün sup marka değil. Dizaynı aynı ama çok basit duruyor ve adi . Ekranıda soluk , canlı değil . Firmanın yaptığı aldatmaca . İade edeceğim";0;Teknoloji;kalite
şarja takmadan çalışmıyor. bataryası bozuk geldi. kutusunu atmış oldum şarjda çalıştığını görünce..çıkarınca hayal kırıklığı oldu..almayın;0;Teknoloji;şarj
Ufacık bir bağlantı kablosu ile tv yapışık bir şekilde oynayabilirsiniz sarz hemen bitiyor mario özleyenler için idare eder;2;Teknoloji;şarj
Yorumlara kanarak aldım evet ürün güzel tatlı bir ürün ama daha yeni kullanmaya başlamama rağmen ekran kararıyor ve kendini kapatıyor. Ayrıca 400 oyun denmiş fakat açtığınızda da 400 oyun var gibi gözükse de o kadar oyun yok aynı oyunları tekrar tekrar koymuşlar. Şarj kısmını hiç anlamadık bütün talimatlar ingilizce veya çince. Şarj da edemiyoruz yani. Alırken youtuber/influencer gibi ünlülerin storylerinde görüp parasına değer diye düşündüm aldım ama değmiyor bence hiç almayın .;0;Teknoloji;şarj
Çok büyük hevesle aldım ama beklediğim gibi gelmedi kalitesi çok çok düşük şarja bağlı kullanılabiliyor sadece maalesef iade;0;Teknoloji;şarj
çok kalitesiz 1 hafta olmadan sarj bölmesi içeri kaçtı sarj edilemiyor evet çok pahalı bir ürün değil ama paranızı çöpe atmayın;0;Teknoloji;kalite
Çok kötü almanızı tavsiye etmem. Çok kaliteli bir şey beklemiyordum ancak bir günde iki kere oynamama rağmen daha ikinci oynamamda ekran karardı ve gitti;0;Teknoloji;kalite
urun çok basit ses kalitesi görüntü kalitesi çok kötü oyunun sesini açtığımda sürekli cızırtı geliyor.en fazla 10 oyun oynanabilir;0;Teknoloji;ses
Göründüğünden daha küçük ekran kalitesi eski aterilerle aynı özellikle kırmıza almama rağmen siyah geldi;0;Teknoloji;renk
Beklediğimden basit bir ürün geldi. İçimdeki oyunlar için aldım ama kalite olarak çok vasat. Tuşlar bile oyun esnasında döküntü çıkarıyor;0;Teknoloji;kalite
Oyunlar güzel ama tıpkı ataride kasetler gibi 999 in bir ama 10 tanesi farklı gerisi kopya beklentimi pek karşılamadı dogrusu...;0;Teknoloji;
ürün çok güzel fakat 24 saat geçmeden arızalandı ve şarj olduktan hemen sonra kapanıyor şarj olmuyor iade talep ettik maalesef :(;0;Teknoloji;şarj
Küçük çocuğunuza alacaksanız iş görebelir fakat kendiniz içinse boşa para vermeyin.İçinde nostaljik çok güzel oyunlar var ama görüntü rezalet aynı şekilde kontrolde çok zor oyun içinde.Üründe çok hafif adi plastikten yapılmış eski kasetli nintedolar vardı görüntüsü o ama kalite yerlerde;0;Teknoloji;kalite
"Çok büyük Hevesle aldık fakat ekranı çizik geldi,oyunun ortasında donuyor, şarjı hemen bitiyor ve belli bir zaman sonra cızırtı yapmaya başlıyor. Mecburen iade edeceğim.";0;Teknoloji;şarj
Ürünün malzeme kalitesi pek iyi değil. Ayrica ekran kılcal çiziklerle geldi sanki bir süre kullanılmış da kutusuna geri konmus gibi. Neyse ki görüntü de bir engel teskil etmiyor. Onun dışında çok keyifli çocukluguma döndüm..;0;Teknoloji;kalite
"Üründen 2 adet aldım, istediğim renk gelmedi ve içinden tv ye bağlama kablosu çıkmadı aynı zamanda kargo en geç 4-6 gün yazmasına rağmen tam 9 gün sonra geldi.";0;Teknoloji;renk
"Ekran kalitesi göründüğü gibi değil, sesi biraz çızırtılı çıkıyor ve kırmızı rengini istememize rağmen satıcı bize siyah rengini göndermiş. Gönderime hazırlanırken rengine dikkat edilmiyor sanırım.";0;Teknoloji;renk
İndirimde uygun fiyata almıştım ancak beklediğim kalitede bi ürün çıkmadı. Ekran ve tuşlar sürekli donuyor. Alırken oyun konsolu olduğu belirtilmişti ancak paketten çıkmadı.;0;Teknoloji;kalite
Ürünün şarjı hemen bitiyor ekran çok çabuk kararıyor bilginiz olsun;0;Teknoloji;şarj
İkinci şarjdan sonra inanılmaz ısınmaya başladı olmasada olur bi konsol;0;Teknoloji;şarj
İçeriği harika ama Çin malı işte şarj almadı iade. Ettim;0,;Teknoloji;şarj
Bir tuşu basmıyordu az daha kaliteli olabilirdi iade ettim;0;Teknoloji;kalite
"Resimde görüldüğü gibi bir ekran yok, imgeler çok küçük, beğenmedim, geri yolladım.";0;Teknoloji;ekran
Cocklumun oyunları cok güzel ama şarş yerleri hemen bozuldu;2;Teknoloji;şarj
37 yaşımdayım kendime bir heved aldım şarj yuvası yok ??;0;Teknoloji;şarj
ürün çok kalitesiz tuşlara zor basılıyor iade ettim o yüzden;0;Teknoloji;kalite
kalitesi düşük çabuk arıza verdi. bataryasını değiştirmek zorunda kaldık.;0;Teknoloji;şarj
Ürün rengi kırmızı diye aldım beyaz geldi onun dışında oyunlar var içinde güzel super mario var;2;Teknoloji;renk
Çok hafif ve beklenenden küçük atari ekran kalitesi kötüye yakın fiyatı daha uygun olmalıydı.;0;Teknoloji;boyut
Ürün eski oyunlar çok güzel sadece kırmızı seçmiştim beyaz geldi onun dışında bir sorun yok.;2;Teknoloji;renk
Ürün biraz küçük geldi.Buna ek olarak şarj süresi epey kısa.;0;Teknoloji;şarj
geldi güzel ama şarj almıyor fiyatina göre iyi bi ürün değil;0;Teknoloji;şarj
Kutunun içinden yedek bataryasi cıkmıdı sarjı cok cabuk BİTİYOR;0;Teknoloji;şarj
"Ürünü kırmızı renk seçmemize rağmen , siyah göndermişler, şarjı çok kısa gidiyor";0;renk
Kırmızı sipariş ettim siyah geldi :( onun dışında çok tatlı televizyona bağlanılabiliyor;2;Teknoloji;renk
Çok güzel oyunlar var. Ama ekran çok kücük ve şarji çabuk bitiyor.;2;Teknoloji;şarj
Çok kaliteli bir ürün değil ekranı çabuk gitti daha kalteli olabilirdi.;0;Teknoloji;kalite
Ürün güzel fakat bataryası çabuk bitiyor almak istiyenler kişilere yedek batarya almayı unutmayın :);2;Teknoloji;şarj
"İlginç nostaljil bir ürün, yedek bataryası ve sarj aleti olsaydı daha iyiydi ama";2;Teknoloji;şarj
İşletimi biraz eski ama idare eder;2;Teknoloji;kalite
Görüntü kalitesi kötü;0;Teknoloji;kalite
sarji cok cabuk bitiyor;0;Teknoloji;şarj
çok çabuk şarjı bitiyor yoksa çok guzel;2;Teknoloji;şarj
çok hızlı şarjı bitiyor;0;Teknoloji;şarj
Tv kablosu çok kısa. Oyunlar güzel.;2;Teknolojiboyut
Ekranı küçük;0;Teknoloji;ekran
Kalitesini beğenmedim çok ucuz ve kalitesiz malzeme kullanımı vardı oyunlar birbirinin aynısı içinde 150 oyun anca vardır birde sadece Çince ve İngilizce geldiği gibi iade ettim.;0;Teknoloji;kalite
ürün fiyatına göre degil çok kalitesiz bir kere düşmesiyle şarj yeri bozuldu bataryayı ayriyetten şarj ediyorum onun dışında oyunlar tekrarlıyor ve şarjı çok Çabuk bitiyor almayın tavsiye etmiyorum;0;Teknoloji;şarj
kirmızi istedim özellikle beyaz geldi halbuki beyazin fiyati daha uygundu ama almadim yinede onu göndermişler bu ilgisizlik beni çok üzdü renk konusunda alacaklar ona gore alsin. onun disinda paketlemesi guzeldi cabuk geldi sorun yaşamadim.. oyunlar cok eğlenceli tavsiye ederim;0;Teknoloji;renk
Ürünu begenerek aldim yalniz elime geldiginde ekrani hep cizik arti icinde bi parca kirikmi cikmismi bilmiyorum hafif sallandiginda icindeki o parca ses cikartiyo tik tik die sevmedim iade talebi olusturdum ve geri yollicam en kisa zamanda;0;Teknoloji;ekran
Hiç memnun değilim çünkü şarjı 15 dakikada bitiyor anlamadım banamı öylesi denk geldi ama çbuk bitiyor.aldığımın ikinci güninden beri öylece rafta duruyor;0;Teknoloji;şarj
Bir hafta içinde bozuldu ekran kararıyor arkadaki kapak bataryayla temas ediyor ancak kapağı cikartinca çalışıyor oda ikide bir ekran gidiyor;0;Teknoloji;ekran
Çok dandik çocuğun elinden düştü hemen şarj olma yeri kırıldı para çöpe gitti üzgünüm bu kdar basit bi yapıda olacağını bilseydim almazdim ??????;0;Teknoloji;kalite
